0, ADD, FAIL, pk1815
1, ADDI, FAIL, pk1815
2, ADDIU, FAIL, pk1815
3, ADD, FAIL, pk1815
4, AND, FAIL, pk1815
5, ANDI, FAIL, pk1815
6, BEQ, FAIL, pk1815
7, BGEZ, FAIL, pk1815
8, BGEZAL, FAIL, pk1815
9, BGTZ, FAIL, pk1815
10, BLEZ, FAIL, pk1815
11, BLTZ, FAIL, pk1815
12, BLTZAL, FAIL, pk1815
13, BNE, FAIL, pk1815
14, DIV, FAIL, pk1815
15, DIVU, FAIL, pk1815
16, J, FAIL, pk1815
17, JALR, FAIL, pk1815
18, JAL, FAIL, pk1815
19, JR, FAIL, pk1815
20, LB, FAIL, pk1815
21, LBU, FAIL, pk1815
22, LH, FAIL, pk1815
23, LHU, FAIL, pk1815
24, LUI, FAIL, pk1815
25, LW, FAIL, pk1815
26, LWL, FAIL, pk1815
27, LWR, FAIL, pk1815
28, MFHI, FAIL, pk1815
29, MFLO, FAIL, pk1815
30, MTHI, FAIL, pk1815
31, MTLO, FAIL, pk1815
32, MULT, FAIL, pk1815
33, MULTU, FAIL, pk1815
34, OR, FAIL, pk1815
35, ORI, FAIL, pk1815
36, SB, FAIL, pk1815
37, SH, FAIL, pk1815
38, SLL, FAIL, pk1815
39, SLLV, FAIL, pk1815
40, SLT, FAIL, pk1815
41, SLTI, FAIL, pk1815
42, SLTIU, FAIL, pk1815
43, SLTU, FAIL, pk1815
44, SRA, FAIL, pk1815
45, SRAV, FAIL, pk1815
46, SRL, FAIL, pk1815
47, SRLV, FAIL, pk1815
48, SUB, PASS, pk1815
49, SUBU, FAIL, pk1815
50, SW, FAIL, pk1815
51, XOR, FAIL, pk1815
53, XORI, FAIL, pk1815
